wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255208237381217,12.691882,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,62,51,56657.00,25263.00,81920.00,69.1614,284.48
1788255208446597469,12.901098,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255208446597469,12.901098,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,73,61,56657.00,25263.00,81920.00,69.1614,273.12
1788255208653018476,13.107519,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255208653018476,13.107519,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,69,58,56657.00,25263.00,81920.00,69.1614,265.92
1788255208870804904,13.325305,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255208870804904,13.325305,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,67,56,56657.00,25263.00,81920.00,69.1614,246.44
1788255209077619639,13.532120,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255209077619639,13.532120,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,64,53,56657.00,25263.00,81920.00,69.1614,258.12
1788255209284081655,13.738582,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255209284081655,13.738582,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,62,51,56657.00,25263.00,81920.00,69.1614,187.37
1788255209491648872,13.946150,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255209491648872,13.946150,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,59,49,56657.00,25263.00,81920.00,69.1614,240.16
1788255209713453662,14.167954,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57342.38,24577.62,81920.00,69.9980,83.29
1788255209713453662,14.167954,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,58,48,56657.00,25263.00,81920.00,69.1614,243.75
1788255209920080663,14.374581,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,57412.38,24507.62,81920.00,70.0835,83.29
